,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
26,2404,1976,S1,Menikah,53359000.0,1,1,27-05-2013,4,173000,4000,30000,3000,6000,41000,4,5,1,4,7,0,0,0,0,0,0,3,11,0
27,5255,1986,S1,Lajang,,1,0,20-02-2013,19,5000,1000,3000,3000,263000,362000,0,27,0,0,1,0,0,0,0,0,0,3,11,0
28,9422,1989,S1,Menikah,38360000.0,1,0,31-05-2013,26,36000,2000,42000,20000,21000,10000,2,2,1,4,3,0,0,0,0,0,0,3,11,0
29,1966,1965,S3,Menikah,84618000.0,0,0,22-11-2013,96,684000,100000,801000,21000,66000,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0
30,6864,1989,S2,Cerai,10979000.0,0,0,22-05-2014,34,8000,4000,10000,2000,2000,4000,2,3,0,3,5,0,0,0,0,0,0,3,11,0
31,3033,1963,S2,Bertunangan,38620000.0,0,0,11-05-2013,56,112000,17000,44000,34000,22000,89000,1,2,5,3,3,0,0,0,0,0,0,3,11,0
32,5710,1970,S1,Bertunangan,40548000.0,0,1,10-10-2012,31,110000,0,5000,2000,0,3000,2,2,1,4,5,0,1,0,0,0,0,3,11,0
33,7373,1952,S3,Cerai,46610000.0,0,2,29-10-2012,8,96000,12000,96000,33000,22000,43000,6,4,1,6,6,0,0,0,0,0,0,3,11,1
34,8755,1946,S2,Menikah,68657000.0,0,0,20-02-2013,4,482000,34000,471000,119000,68000,22000,1,3,5,9,7,0,0,0,0,0,0,3,11,0
35,10738,1951,S2,Lajang,49389000.0,1,1,29-08-2013,55,40000,0,19000,2000,1000,3000,1,2,0,3,7,0,0,0,0,0,0,3,11,0
36,4339,1970,S3,Menikah,67353000.0,0,1,31-12-2013,37,702000,17000,151000,0,8000,35000,5,5,6,12,2,0,0,0,0,0,0,3,11,0
37,10755,1976,D3,Menikah,23718000.0,1,0,02-09-2013,76,6000,3000,14000,15000,7000,36000,3,3,1,2,7,0,0,0,0,0,0,3,11,0
38,8595,1973,S1,Janda,42429000.0,0,1,11-02-2014,99,55000,0,6000,2000,0,4000,2,1,1,3,5,0,0,0,0,0,0,3,11,0
39,2968,1943,S3,Cerai,48948000.0,0,0,01-02-2013,53,437000,8000,206000,160000,49000,42000,2,7,10,5,6,1,0,0,0,0,0,3,11,1
40,8601,1980,S1,Menikah,80011000.0,0,1,29-04-2013,3,421000,76000,536000,82000,178000,102000,2,8,6,5,4,0,0,0,0,0,0,3,11,0
41,503,1985,S2,Menikah,20559000.0,1,0,12-03-2013,88,13000,1000,29000,3000,0,7000,2,2,0,3,8,0,0,0,0,0,0,3,11,0
42,8430,1957,S1,Bertunangan,21994000.0,0,1,24-12-2012,4,9000,0,6000,3000,1000,3000,1,0,0,3,5,0,0,0,0,0,0,3,11,0
43,7281,1959,S3,Lajang,,0,0,05-11-2013,80,81000,11000,50000,3000,2000,39000,1,1,3,4,2,0,0,0,0,0,0,3,11,0
44,2139,1975,S2,Menikah,7500000.0,1,0,02-10-2013,19,3000,1000,10000,3000,2000,12000,3,2,0,3,5,0,0,0,0,0,0,3,11,0
45,1371,1976,S1,Lajang,79941000.0,0,0,28-06-2014,72,123000,164000,266000,227000,30000,174000,1,2,4,9,1,0,0,0,0,0,0,3,11,0
46,9909,1996,D3,Menikah,7500000.0,0,0,09-11-2012,24,3000,18000,14000,15000,22000,50000,3,3,1,3,9,0,0,0,0,0,0,3,11,1
47,7286,1968,S1,Bertunangan,41728000.0,1,0,24-05-2013,92,13000,6000,15000,3000,5000,13000,1,2,0,2,10,0,0,0,0,0,0,3,11,0
48,7244,1951,S1,Lajang,,2,1,01-01-2014,96,48000,5000,48000,6000,10000,7000,3,2,1,4,6,0,0,0,0,0,0,3,11,0
49,6566,1954,S3,Menikah,72550000.0,1,1,08-11-2012,39,826000,50000,317000,50000,38000,38000,9,5,2,12,8,0,0,0,0,0,0,3,11,0
50,8614,1957,S1,Janda,65486000.0,0,1,12-05-2014,29,245000,19000,125000,37000,67000,14000,1,4,2,10,2,0,0,0,0,0,0,3,11,0
51,4114,1964,S2,Menikah,79143000.0,0,0,11-08-2012,2,650000,37000,780000,27000,167000,32000,1,6,9,13,3,0,0,0,0,0,0,3,11,0
52,1331,1977,S1,Lajang,35790000.0,1,0,02-01-2013,54,12000,6000,20000,30000,1000,3000,2,2,0,3,7,0,0,0,0,0,0,3,11,0
53,2225,1977,S1,Cerai,82582000.0,0,0,07-06-2014,54,510000,120000,550000,156000,40000,241000,1,4,9,7,1,1,0,0,1,0,0,3,11,1
54,9381,1978,S1,Menikah,66373000.0,1,1,12-06-2013,57,328000,9000,124000,12000,24000,109000,7,4,2,10,3,0,0,0,0,0,0,3,11,0
55,6260,1955,S2,Bertunangan,82384000.0,0,0,19-11-2012,55,984000,51000,432000,180000,120000,190000,1,3,10,13,1,0,0,1,0,0,0,3,11,1
56,10383,1966,S1,Cerai,70287000.0,0,0,02-04-2013,30,295000,35000,482000,121000,120000,40000,1,5,5,10,3,0,0,0,0,0,0,3,11,1
57,7437,1988,S1,Lajang,27938000.0,1,0,28-04-2014,31,13000,0,8000,2000,1000,5000,1,1,0,4,3,0,0,0,0,0,0,3,11,0
58,8557,1982,S1,Lajang,,1,0,17-06-2013,57,11000,3000,22000,2000,2000,6000,2,2,0,3,6,0,0,0,0,0,0,3,11,0
59,8375,1968,S3,Menikah,55954000.0,0,1,03-03-2014,63,447000,0,28000,0,0,43000,3,8,2,6,7,0,0,0,0,0,0,3,11,0
60,6853,1982,S2,Lajang,75777000.0,0,0,04-07-2013,12,712000,26000,538000,69000,13000,80000,1,3,6,11,1,0,1,1,0,0,0,3,11,1
61,3076,1975,S1,Bertunangan,66653000.0,1,1,07-09-2012,18,452000,18000,102000,16000,18000,6000,4,4,2,12,3,0,0,0,0,0,0,3,11,0
62,1012,1952,S1,Lajang,61823000.0,0,1,18-02-2013,26,523000,7000,134000,37000,14000,169000,4,8,2,10,7,0,0,0,0,0,0,3,11,0
63,6518,1951,S3,Janda,67680000.0,0,1,11-06-2013,8,546000,0,48000,0,6000,6000,1,7,3,8,5,0,0,0,0,0,0,3,11,0
64,4137,1948,S1,Bertunangan,70666000.0,0,0,06-12-2013,29,398000,40000,367000,119000,122000,30000,1,7,4,4,4,0,0,0,0,0,0,3,11,0
65,8082,1971,S1,Menikah,25721000.0,1,0,21-05-2013,75,1000,3000,6000,3000,6000,15000,1,1,1,2,7,0,0,0,0,0,0,3,11,1
66,1386,1967,S1,Bertunangan,32474000.0,1,1,11-05-2014,0,10000,0,1000,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0
67,9369,1979,D3,Lajang,88194000.0,0,1,19-03-2014,19,688000,14000,309000,201000,24000,38000,1,11,10,10,5,1,0,0,1,0,0,3,11,1
68,4477,1958,S1,Bertunangan,69096000.0,0,1,27-09-2013,4,247000,49000,159000,7000,82000,109000,1,5,2,10,4,0,0,0,0,0,0,3,11,0
69,1357,1970,S1,Bertunangan,74854000.0,1,2,08-04-2013,90,856000,59000,487000,58000,29000,73000,7,2,5,5,5,0,0,0,0,0,0,3,11,0
70,1402,1954,S2,Menikah,66991000.0,0,0,11-09-2012,1,496000,36000,460000,189000,60000,12000,3,4,8,6,3,0,0,0,0,0,0,3,11,0
71,10629,1973,D3,Menikah,,1,0,14-09-2012,25,25000,3000,43000,17000,4000,17000,3,3,0,3,8,0,0,0,0,0,0,3,11,0
72,6312,1959,S1,Menikah,65031000.0,0,1,17-03-2013,29,258000,107000,291000,84000,37000,86000,4,10,3,13,7,0,0,0,0,0,0,3,11,0
73,8132,1975,S3,Menikah,60631000.0,1,1,05-04-2013,88,565000,6000,65000,0,6000,19000,5,9,2,8,7,0,1,0,0,0,0,3,11,0
74,1050,1952,S1,Menikah,28332000.0,0,0,30-04-2014,58,14000,10000,13000,4000,15000,9000,1,2,1,4,2,0,0,0,0,0,0,3,11,0
75,5846,1977,S1,Cerai,40246000.0,1,0,19-12-2012,68,2000,1000,6000,2000,1000,1000,1,1,0,2,6,0,0,0,0,0,0,3,11,0
76,1859,1972,S2,Menikah,75251000.0,0,0,27-08-2012,34,721000,111000,925000,97000,18000,18000,1,7,6,5,5,0,0,0,0,0,0,3,11,1
77,7503,1976,S1,Lajang,75825000.0,0,0,12-10-2012,40,1032000,105000,779000,137000,105000,51000,0,5,8,9,4,1,0,0,0,0,0,3,11,1
78,10401,1976,D3,Bertunangan,26326000.0,0,0,04-09-2013,12,1000,0,5000,0,3000,9000,1,0,0,3,3,0,0,0,0,0,1,3,11,0
79,1618,1965,S1,Bertunangan,56046000.0,0,0,02-01-2013,9,577000,0,64000,0,0,51000,2,10,1,8,8,1,0,0,0,0,0,3,11,1
80,3332,1985,S1,Lajang,29760000.0,1,0,29-08-2012,87,64000,4000,68000,7000,5000,17000,4,3,1,4,8,0,0,0,0,0,0,3,11,0
81,2261,1969,S1,Menikah,26304000.0,1,0,23-06-2013,5,4000,1000,5000,2000,0,4000,1,1,0,2,7,0,0,0,0,0,0,3,11,0
82,5346,1973,D3,Menikah,23559000.0,1,0,03-07-2013,87,25000,5000,19000,7000,0,23000,3,3,0,3,7,0,0,0,0,0,0,3,11,0
83,4119,1963,S2,Bertunangan,38620000.0,0,0,11-05-2013,56,112000,17000,44000,34000,22000,89000,1,2,5,3,3,0,0,0,0,0,0,3,11,0
84,535,1987,S1,Cerai,81361000.0,0,0,25-02-2014,18,163000,23000,424000,27000,65000,76000,1,3,10,13,1,0,0,0,0,0,0,3,11,0
85,5268,1960,S1,Menikah,29440000.0,1,1,11-08-2013,95,17000,8000,14000,10000,4000,3000,2,1,0,4,7,0,0,0,0,0,0,3,11,0
86,273,1970,S2,Menikah,36138000.0,1,1,16-07-2013,48,130000,0,16000,0,0,5000,5,3,1,4,7,0,1,0,0,0,0,3,11,0
87,4452,1957,S1,Lajang,50388000.0,0,1,28-05-2014,3,292000,6000,37000,0,3000,34000,4,6,1,6,7,0,1,0,1,0,0,3,11,1
88,8504,1973,S1,Menikah,79593000.0,0,0,12-05-2014,70,350000,60000,568000,110000,133000,145000,1,5,6,7,2,0,0,1,0,0,0,3,11,0
89,771,1967,S1,Bertunangan,54178000.0,0,1,21-01-2014,79,135000,9000,39000,4000,0,7000,1,2,2,5,2,0,0,0,0,0,0,3,11,0
90,8996,1957,S3,Menikah,,2,1,19-11-2012,4,230000,42000,192000,49000,37000,53000,12,7,2,8,9,0,0,0,0,0,0,3,11,0
91,9235,1957,S1,Lajang,,1,1,27-05-2014,45,7000,0,8000,2000,0,1000,1,1,0,2,7,0,0,0,0,0,0,3,11,0
92,5798,1973,S2,Bertunangan,,0,0,23-11-2013,87,445000,37000,359000,98000,28000,18000,1,2,4,8,1,0,0,0,0,0,0,3,11,0
93,11178,1972,S2,Lajang,42394000.0,1,0,23-03-2014,69,15000,2000,10000,0,1000,4000,1,1,0,3,7,0,0,0,0,0,0,3,11,0
94,2230,1970,S3,Menikah,23626000.0,1,0,24-05-2014,84,27000,2000,14000,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0
95,7516,1983,S1,Menikah,30096000.0,1,0,22-05-2014,30,5000,3000,11000,12000,5000,9000,1,2,0,3,6,0,0,0,0,0,0,3,11,0
96,7247,1960,S1,Janda,47916000.0,0,1,22-11-2012,72,505000,0,26000,0,0,75000,5,7,4,6,6,0,1,0,0,0,0,3,11,0
97,11100,1972,S1,Cerai,51813000.0,1,1,11-04-2013,37,51000,2000,7000,0,1000,2000,2,2,0,3,7,0,0,0,0,0,0,3,11,0
98,4646,1951,D3,Menikah,78497000.0,0,0,01-12-2013,44,207000,26000,447000,75000,0,223000,1,5,7,12,2,0,0,0,1,0,0,3,11,0
99,3037,1983,S3,Menikah,50150000.0,0,0,20-06-2013,32,135000,46000,92000,65000,61000,11000,2,5,2,7,5,0,0,0,0,0,0,3,11,0
100,1473,1960,D3,Lajang,47823000.0,0,1,23-07-2013,0,53000,1000,5000,2000,1000,10000,2,2,0,3,8,0,0,0,0,0,0,3,11,0
101,1016,1959,S3,Lajang,34554000.0,0,1,30-03-2014,43,41000,1000,6000,2000,0,5000,2,2,0,3,6,0,0,0,0,0,0,3,11,0
102,4518,1979,S1,Bertunangan,85693000.0,0,1,20-04-2013,59,386000,172000,183000,185000,132000,111000,2,9,5,11,5,0,0,0,0,0,0,3,11,0
103,9370,1945,S3,Menikah,65846000.0,0,0,17-05-2013,68,562000,81000,276000,80000,40000,81000,1,6,3,6,4,0,0,0,0,0,0,3,11,0
104,8908,1959,S1,Menikah,87195000.0,0,0,08-05-2014,35,217000,76000,690000,50000,26000,38000,1,3,11,5,1,0,0,0,0,0,0,3,11,1
105,8373,1979,SMA,Bertunangan,24594000.0,1,0,10-12-2013,94,1000,3000,6000,10000,0,9000,1,1,0,3,5,0,0,0,0,0,0,3,11,0
106,7533,1964,S1,Menikah,49096000.0,1,1,24-09-2013,15,144000,1000,32000,2000,1000,7000,4,4,1,4,7,0,0,0,0,0,0,3,11,0
107,2683,1969,S1,Menikah,52413000.0,0,2,02-02-2013,56,295000,106000,271000,75000,98000,65000,4,6,4,12,6,0,0,0,0,0,0,3,11,0
108,3629,1978,S1,Lajang,38557000.0,1,0,19-12-2012,17,76000,3000,31000,4000,4000,27000,2,3,1,3,7,0,0,0,0,0,0,3,11,0
109,10991,1960,S2,Menikah,89058000.0,0,0,07-12-2012,18,454000,194000,106000,31000,22000,43000,1,5,4,4,2,0,0,0,0,0,0,3,11,0
110,5077,1979,S1,Bertunangan,77298000.0,0,1,02-11-2013,46,425000,115000,292000,23000,35000,79000,1,6,6,11,3,0,0,0,0,0,0,3,11,0
111,7431,1991,S3,Lajang,68126000.0,0,0,10-11-2012,40,1332000,17000,311000,23000,51000,86000,1,7,4,5,9,0,1,0,0,0,0,3,11,1
112,3267,1963,S2,Bertunangan,57288000.0,0,1,25-06-2014,27,527000,0,21000,0,0,60000,3,8,1,8,6,0,1,0,0,0,0,3,11,0
113,999,1991,S1,Lajang,86037000.0,0,0,02-01-2013,95,490000,44000,125000,29000,20000,22000,1,6,7,11,3,0,1,1,0,0,0,3,11,1
114,9215,1980,S3,Menikah,43974000.0,1,0,12-12-2012,19,378000,0,101000,0,0,72000,5,6,4,6,7,0,0,0,0,0,0,3,11,0
115,2286,1962,S1,Lajang,50785000.0,1,1,10-09-2013,27,64000,1000,21000,0,1000,27000,2,2,1,3,6,0,0,0,0,0,0,3,11,0
116,1592,1970,S1,Menikah,90765000.0,0,0,24-01-2014,25,547000,99000,812000,151000,82000,33000,0,4,6,5,1,0,0,1,1,0,0,3,11,0
117,367,1978,D3,Menikah,36550000.0,1,0,19-02-2013,74,47000,90000,94000,123000,103000,120000,5,9,1,5,9,0,0,0,0,0,0,3,11,0
118,5234,1967,D3,Bertunangan,30753000.0,1,1,11-07-2013,85,12000,5000,25000,0,9000,30000,2,1,1,3,5,0,0,0,0,0,0,3,11,0
119,9862,1969,S1,Bertunangan,21918000.0,1,0,14-11-2013,37,1000,6000,7000,11000,5000,3000,2,2,0,3,6,0,0,0,0,0,0,3,11,0
120,9805,1953,S2,Bertunangan,56129000.0,0,1,20-06-2013,65,320000,48000,133000,39000,72000,48000,4,6,2,10,4,0,0,0,0,0,0,3,11,0
121,6205,1967,S2,Lajang,32557000.0,1,0,24-02-2014,13,34000,3000,29000,0,4000,10000,3,2,1,3,5,0,0,0,0,0,0,3,11,1
122,8442,1985,S2,Menikah,19510000.0,2,0,04-09-2013,63,9000,0,7000,3000,4000,7000,2,1,0,3,7,0,0,0,0,0,0,3,11,0
123,7386,1976,S1,Cerai,30992000.0,1,0,22-04-2013,83,17000,0,14000,7000,3000,2000,1,1,0,3,7,0,0,0,0,0,0,3,11,0
124,7215,1983,S1,Lajang,101970000.0,0,0,12-03-2013,69,722000,27000,102000,44000,72000,168000,0,6,8,13,2,0,1,1,1,0,0,3,11,1
125,1491,1965,D3,Bertunangan,71488000.0,0,0,18-02-2013,87,162000,33000,124000,40000,28000,172000,2,3,4,7,1,0,0,0,0,0,0,3,11,0
126,11071,1984,S1,Lajang,79607000.0,0,0,21-04-2013,37,450000,133000,951000,173000,0,216000,1,3,6,6,1,0,0,0,0,0,0,3,11,1
127,3381,1953,S2,Menikah,54348000.0,1,1,08-06-2014,51,70000,0,16000,0,0,4000,2,2,0,4,6,0,0,0,0,0,0,3,11,0
128,8268,1961,S3,Menikah,,0,1,11-07-2013,23,352000,0,27000,10000,0,15000,3,6,1,7,6,0,0,0,0,0,0,3,11,0
129,11051,1956,S3,Bertunangan,77376000.0,1,1,10-05-2014,72,492000,19000,110000,16000,12000,12000,4,6,3,10,4,0,0,0,0,0,0,3,11,0
130,8026,1952,S1,Menikah,62998000.0,0,1,30-09-2013,10,120000,58000,73000,65000,89000,58000,5,5,4,5,5,0,0,0,0,0,0,3,11,0
131,433,1958,S2,Duda,61331000.0,1,1,10-03-2013,42,534000,5000,47000,0,5000,41000,5,11,1,6,8,0,0,0,0,0,0,3,11,0
132,9597,1969,S1,Menikah,73448000.0,0,0,10-02-2014,10,236000,106000,189000,23000,41000,130000,1,7,2,9,4,0,0,0,0,0,0,3,11,0
133,1295,1963,S1,Menikah,,0,1,11-08-2013,96,231000,65000,196000,38000,71000,124000,1,6,5,7,4,0,0,0,0,0,0,3,11,0
134,5290,1964,S3,Menikah,41551000.0,1,1,14-08-2013,51,220000,0,33000,3000,0,23000,5,5,1,5,8,0,0,0,0,0,0,3,11,0
135,1685,1967,S3,Bertunangan,62981000.0,0,0,17-03-2013,21,796000,14000,590000,38000,44000,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0
136,5342,1976,SMA,Cerai,9548000.0,1,0,08-08-2012,31,0,1000,3000,10000,6000,9000,2,1,0,3,8,0,0,0,0,0,0,3,11,0
137,9579,1959,S3,Menikah,33762000.0,2,1,07-07-2013,61,53000,1000,34000,2000,0,16000,3,2,2,2,8,0,0,0,0,0,0,3,11,0
138,7660,1973,S3,Duda,35860000.0,1,1,19-05-2014,37,15000,0,8000,4000,2000,20000,2,1,1,2,5,1,0,0,0,0,0,3,11,1
139,1461,1965,S3,Cerai,36921000.0,1,1,28-07-2013,74,17000,1000,12000,3000,1000,4000,2,2,0,3,7,0,0,0,0,0,0,3,11,0
140,821,1992,S2,Lajang,92859000.0,0,0,19-10-2012,46,962000,61000,921000,52000,61000,20000,1,5,4,12,2,0,0,0,0,0,0,3,11,0
141,11084,1976,S2,Bertunangan,65104000.0,0,1,14-11-2013,4,738000,0,232000,13000,20000,50000,2,3,5,7,7,0,0,0,0,0,0,3,11,1
142,8690,1962,S1,Menikah,86111000.0,0,0,19-04-2013,73,399000,28000,756000,36000,40000,126000,1,5,7,10,2,0,0,0,0,0,0,3,11,0
143,2937,1974,S3,Lajang,68352000.0,0,1,28-08-2013,47,614000,16000,132000,43000,33000,33000,3,8,5,9,6,0,0,0,0,0,0,3,11,0
144,9701,1988,S1,Bertunangan,41883000.0,1,0,19-03-2013,13,32000,34000,41000,73000,16000,116000,3,4,2,3,7,0,0,0,0,0,0,3,11,0
145,9949,1976,S1,Menikah,59809000.0,0,2,18-10-2012,36,598000,16000,141000,32000,41000,49000,3,3,3,6,8,0,0,0,0,0,0,3,11,0
146,10837,1975,S1,Menikah,23957000.0,1,0,28-10-2012,47,2000,1000,18000,20000,11000,16000,1,2,0,3,6,0,0,0,0,0,0,3,11,1
147,3120,1981,S1,Bertunangan,38547000.0,1,0,28-08-2013,49,6000,1000,10000,0,1000,4000,1,1,0,2,8,0,0,0,0,0,1,3,11,0
148,5885,1973,D3,Menikah,35688000.0,2,1,22-08-2012,94,73000,3000,90000,12000,1000,32000,7,4,1,4,8,0,0,0,0,0,0,3,11,0
149,4050,1966,S2,Menikah,49605000.0,0,0,21-06-2014,65,42000,16000,29000,12000,20000,8000,1,2,1,4,3,0,0,0,0,0,0,3,11,0
150,3830,1953,S2,Menikah,59354000.0,0,2,24-04-2014,59,295000,21000,78000,39000,13000,13000,1,4,4,7,3,0,0,0,0,0,0,3,11,0
151,7987,1969,S1,Menikah,65747000.0,0,1,07-03-2014,96,346000,17000,48000,23000,13000,13000,4,8,1,6,6,0,1,0,0,0,0,3,11,0
152,7798,1972,D3,Bertunangan,46344000.0,0,1,14-12-2012,28,233000,20000,57000,8000,20000,91000,4,7,1,5,7,0,0,0,0,0,0,3,11,0
153,92,1988,S1,Duda,34176000.0,1,0,12-05-2014,12,5000,7000,24000,19000,14000,20000,4,3,0,4,6,0,0,0,0,0,0,3,11,0
154,7055,1952,S3,Bertunangan,61010000.0,0,1,09-10-2012,57,888000,0,57000,0,0,76000,2,8,5,11,5,0,0,0,0,0,0,3,11,0
155,10240,1949,S1,Bertunangan,69372000.0,0,0,19-02-2013,10,997000,26000,269000,34000,13000,42000,1,10,4,6,4,0,1,1,0,0,0,3,11,1
156,3025,1958,S1,Lajang,49967000.0,0,1,08-07-2013,4,212000,6000,69000,4000,12000,3000,3,6,1,5,7,0,0,0,0,0,0,3,11,0
157,9283,1978,S1,Lajang,60199000.0,1,2,12-09-2013,49,8000,1000,7000,2000,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0
158,9970,1977,S1,Bertunangan,55375000.0,0,1,17-10-2013,3,42000,11000,57000,10000,28000,14000,1,1,1,6,2,0,0,0,0,0,0,3,11,0
159,2730,1955,S1,Lajang,80317000.0,0,0,20-08-2013,64,536000,11000,387000,149000,91000,57000,1,3,4,10,1,0,0,0,0,0,0,3,11,0
160,2795,1958,S2,Lajang,30523000.0,2,1,01-07-2013,0,5000,0,3000,0,0,5000,1,1,0,2,7,0,0,0,0,0,0,3,11,0
161,9260,1945,S3,Menikah,70356000.0,0,0,05-11-2012,20,1349000,16000,249000,43000,16000,33000,2,10,6,9,6,0,0,0,0,0,0,3,11,0
162,8182,1984,S1,Menikah,23228000.0,1,0,05-01-2014,91,53000,3000,49000,7000,4000,5000,4,3,0,4,8,0,0,0,0,0,0,3,11,0
163,10095,1975,S3,Cerai,74165000.0,0,0,01-05-2013,9,1001000,12000,240000,16000,12000,12000,1,5,4,10,2,0,0,0,0,0,0,3,11,0
164,8475,1973,S3,Menikah,157243000.0,0,1,01-03-2014,98,20000,2000,1582000,1000,2000,1000,15,0,22,0,0,0,0,0,0,0,0,3,11,0
165,4370,1966,S1,Bertunangan,43482000.0,2,1,13-11-2013,83,18000,1000,32000,6000,3000,28000,3,2,0,4,6,0,0,0,0,0,0,3,11,0
166,10573,1953,S1,Cerai,62551000.0,0,0,18-11-2013,27,125000,16000,98000,134000,21000,27000,1,6,7,4,3,1,0,0,0,0,0,3,11,0
167,3712,1959,S1,Cerai,52332000.0,0,0,28-08-2013,63,212000,5000,33000,7000,0,2000,1,3,2,6,4,0,1,0,0,0,0,3,11,0
